filename,object_id,x1,x2,x3,x4,y1,y2,y3,y4,lat,lon
DJI_20250513135723_0143_D.JPG,0,3182,2324,3239,2410,3164,2446,3108,2360,633008.309336079,5807555.652043862
DJI_20250513135725_0144_D.JPG,0,3163,2319,3221,2406,3142,2445,3084,2355,633000.8328882937,5807555.260525044
DJI_20250513135729_0146_D.JPG,1,2658,2614,2740,2569,2799,2663,2714,2710,632937.6395558171,5807561.524115528
DJI_20250513135731_0147_D.JPG,0,2608,2485,2659,2580,2572,2622,2522,2526,632915.7119676938,5807554.415888595
DJI_20250513135731_0147_D.JPG,1,2407,2334,2484,2296,2531,2374,2455,2416,632896.3532628505,5807545.928696805
DJI_20250513135733_0148_D.JPG,0,2371,2433,2416,2525,2328,2566,2284,2472,632893.3794587266,5807549.104947216
DJI_20250513135735_0149_D.JPG,0,2211,2708,2249,2815,2151,2853,2115,2745,632898.5785001621,5807555.622851209
DJI_20250513135741_0152_D.JPG,0,1992,2592,2004,2699,1902,2714,1891,2606,632898.594605159,5807544.893620358
DJI_20250513135743_0153_D.JPG,0,1901,2686,1923,2796,1820,2824,1800,2713,632903.7066809365,5807546.667247802
DJI_20250513135747_0155_D.JPG,0,1891,2223,1972,2270,1922,2354,1841,2304,632911.9161816342,5807521.465796484
DJI_20250513135747_0155_D.JPG,1,1662,2209,1710,2134,1779,2171,1737,2251,632901.869828577,5807525.591984933
DJI_20250513135751_0157_D.JPG,0,2083,2014,2163,2058,2119,2133,2038,2087,632892.3911720219,5807503.2316704355
DJI_20250513135753_0158_D.JPG,0,2796,2387,2871,2466,2804,2531,2728,2451,632854.3856040989,5807501.9787335005
DJI_20250513135753_0158_D.JPG,1,2556,2291,2620,2230,2693,2298,2629,2362,632858.1034259395,5807503.435679872
DJI_20250513135755_0159_D.JPG,1,2765,2435,2853,2403,2904,2497,2813,2530,632848.1096322014,5807510.899981002
DJI_20250513135755_0159_D.JPG,0,2978,2621,3029,2729,2933,2763,2883,2654,632845.0824020685,5807509.59669099
DJI_20250513135757_0160_D.JPG,1,2731,2341,2817,2319,2851,2395,2768,2431,632847.5414646739,5807514.818544318
DJI_20250513135757_0160_D.JPG,0,2919,2532,2960,2639,2861,2662,2822,2555,632844.4697195062,5807513.469169599
DJI_20250513135807_0165_D.JPG,0,3544,2003,3595,2078,3519,2112,3464,2029,632825.8186344118,5807523.574523297
DJI_20250513135807_0165_D.JPG,1,3333,1866,3406,1842,3455,1907,3386,1939,632828.2780387732,5807524.7823986625
DJI_20250513135809_0166_D.JPG,1,2962,2080,3041,2053,3080,2129,3011,2161,632829.8553635062,5807524.592869707
DJI_20250513135821_0172_D.JPG,0,2333,1993,2409,2041,2366,2109,2288,2060,632829.9680086566,5807534.111212691
DJI_20250513135821_0172_D.JPG,1,2115,1967,2158,1906,2222,1942,2186,2008,632834.5011283366,5807532.694803439
DJI_20250513135823_0173_D.JPG,0,2072,2233,2166,2244,2159,2336,2063,2325,632826.1447910364,5807529.780294626
DJI_20250513135823_0173_D.JPG,1,1845,2320,1855,2229,1947,2233,1939,2325,632829.2754667529,5807526.495156746
DJI_20250513135825_0174_D.JPG,1,2050,2180,2082,2095,2171,2124,2142,2211,632825.3577418332,5807537.989544063
DJI_20250513135825_0174_D.JPG,0,2296,2157,2388,2194,2359,2282,2264,2245,632824.2018122394,5807541.381942079
DJI_20250513135827_0175_D.JPG,0,2541,2203,2644,2223,2639,2323,2533,2302,632835.1390549758,5807553.137990803
DJI_20250513135827_0175_D.JPG,1,2293,2276,2302,2178,2403,2192,2397,2291,632831.2839679308,5807548.651348195
DJI_20250513135829_0176_D.JPG,0,2399,2210,2498,2254,2464,2347,2363,2302,632841.7941472587,5807553.833076551
DJI_20250513135829_0176_D.JPG,1,2138,2222,2173,2133,2269,2169,2235,2260,632836.0443022216,5807549.224532916
DJI_20250513135833_0178_D.JPG,1,2567,2017,2627,1960,2699,2019,2641,2082,632876.6789007927,5807546.808334889
DJI_20250513135835_0179_D.JPG,1,2699,2242,2767,2177,2851,2256,2782,2320,632896.8411564532,5807552.78088857
DJI_20250513135835_0179_D.JPG,0,2966,2348,3053,2435,2981,2505,2895,2417,632925.988744015,5807563.573681261
